risk_id,region,country,industry,customer_id,customer_name,risk_type,risk_description,impact_level,probability,risk_level,legal_required,product_required,owner,status,response_action,need_cross_team
RISK_000,中东,阿联酋,SaaS软件,CUST_033,中东_金融_033,模型输出内容安全,模型输出内容安全相关合规检查,低,中,低风险,0,1,产品,已关闭,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_001,欧洲,德国,金融科技,CUST_038,欧洲_跨境_038,专属部署,专属部署相关合规检查,低,中,低风险,0,1,技术,待法务确认,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_002,东南亚,新加坡,游戏出海,CUST_022,东南_游戏_022,第三方模型调用,第三方模型调用相关合规检查,高,中,高风险,0,1,技术,待法务确认,确认第三方模型调用范围、数据处理方式和供应商责任边界,1
RISK_003,北美,美国,金融科技,CUST_013,北美_金融_013,客户知识库数据使用,客户知识库数据使用相关合规检查,高,中,高风险,0,1,法务,待产品确认,确认客户知识库数据是否参与训练、是否隔离存储及访问权限,1
RISK_004,东南亚,新加坡,游戏出海,CUST_003,东南_跨境_003,日志留存,日志留存相关合规检查,高,中,高风险,0,1,技术,待产品确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_005,东南亚,马来西亚,金融科技,CUST_010,东南_Sa_010,专属部署,专属部署相关合规检查,低,低,低风险,0,1,产品,未开始,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_006,拉美,巴西,金融科技,CUST_029,拉美_Sa_029,数据本地化,数据本地化相关合规检查,高,中,高风险,1,0,业务,处理中,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_007,拉美,巴西,跨境电商,CUST_027,拉美_Sa_027,个人信息处理,个人信息处理相关合规检查,低,中,低风险,1,0,产品,待法务确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_008,拉美,巴西,SaaS软件,CUST_040,拉美_Sa_040,删除机制,删除机制相关合规检查,高,低,高风险,0,1,产品,已关闭,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_009,拉美,墨西哥,跨境电商,CUST_025,拉美_金融_025,日志留存,日志留存相关合规检查,高,高,高风险,0,1,技术,已关闭,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_010,东南亚,新加坡,游戏出海,CUST_003,东南_跨境_003,合同责任边界,合同责任边界相关合规检查,低,低,低风险,1,0,产品,处理中,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_011,欧洲,荷兰,金融科技,CUST_006,欧洲_金融_006,删除机制,删除机制相关合规检查,低,高,低风险,0,1,业务,待产品确认,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_012,东南亚,新加坡,金融科技,CUST_011,东南_游戏_011,模型输出内容安全,模型输出内容安全相关合规检查,低,低,低风险,0,1,产品,未开始,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_013,北美,美国,SaaS软件,CUST_019,北美_游戏_019,日志留存,日志留存相关合规检查,中,中,中风险,0,1,法务,处理中,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_014,欧洲,法国,教育科技,CUST_034,欧洲_金融_034,删除机制,删除机制相关合规检查,高,高,高风险,0,1,法务,处理中,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_015,欧洲,德国,金融科技,CUST_012,欧洲_教育_012,数据本地化,数据本地化相关合规检查,高,中,高风险,1,0,法务,待产品确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_016,欧洲,德国,金融科技,CUST_038,欧洲_跨境_038,个人信息处理,个人信息处理相关合规检查,低,中,低风险,1,0,产品,待产品确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_017,中东,沙特,游戏出海,CUST_017,中东_跨境_017,数据跨境,数据跨境相关合规检查,中,中,中风险,1,0,法务,未开始,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_018,拉美,巴西,金融科技,CUST_029,拉美_Sa_029,日志留存,日志留存相关合规检查,高,中,高风险,0,1,技术,待法务确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_019,东南亚,新加坡,金融科技,CUST_030,东南_金融_030,模型输出内容安全,模型输出内容安全相关合规检查,低,中,低风险,0,1,技术,未开始,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_020,北美,美国,跨境电商,CUST_016,北美_游戏_016,删除机制,删除机制相关合规检查,高,中,高风险,0,1,产品,待法务确认,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_021,欧洲,德国,跨境电商,CUST_002,欧洲_Sa_002,删除机制,删除机制相关合规检查,中,低,中风险,0,1,业务,已关闭,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_022,中东,阿联酋,游戏出海,CUST_032,中东_Sa_032,模型输出内容安全,模型输出内容安全相关合规检查,低,高,低风险,0,1,产品,处理中,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_023,北美,美国,金融科技,CUST_013,北美_金融_013,合同责任边界,合同责任边界相关合规检查,中,高,中风险,1,0,法务,未开始,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_024,东南亚,新加坡,游戏出海,CUST_003,东南_跨境_003,模型输出内容安全,模型输出内容安全相关合规检查,中,低,中风险,0,1,产品,处理中,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_025,欧洲,荷兰,金融科技,CUST_006,欧洲_金融_006,模型输出内容安全,模型输出内容安全相关合规检查,中,高,中风险,0,1,技术,处理中,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_026,北美,美国,金融科技,CUST_013,北美_金融_013,个人信息处理,个人信息处理相关合规检查,高,中,高风险,1,0,产品,处理中,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_027,中东,沙特,游戏出海,CUST_017,中东_跨境_017,专属部署,专属部署相关合规检查,中,高,中风险,0,1,产品,未开始,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_028,东南亚,新加坡,金融科技,CUST_030,东南_金融_030,数据本地化,数据本地化相关合规检查,低,低,低风险,1,0,技术,已关闭,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_029,拉美,墨西哥,跨境电商,CUST_024,拉美_Sa_024,数据本地化,数据本地化相关合规检查,中,低,中风险,1,0,产品,已关闭,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_030,东南亚,马来西亚,SaaS软件,CUST_008,东南_金融_008,专属部署,专属部署相关合规检查,中,高,中风险,0,1,产品,已关闭,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_031,拉美,墨西哥,跨境电商,CUST_025,拉美_金融_025,日志留存,日志留存相关合规检查,低,高,低风险,0,1,法务,待产品确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_032,欧洲,德国,跨境电商,CUST_002,欧洲_Sa_002,合同责任边界,合同责任边界相关合规检查,高,中,高风险,1,0,法务,未开始,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_033,东南亚,新加坡,金融科技,CUST_030,东南_金融_030,模型输出内容安全,模型输出内容安全相关合规检查,高,中,高风险,0,1,业务,处理中,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_034,东南亚,新加坡,游戏出海,CUST_003,东南_跨境_003,数据跨境,数据跨境相关合规检查,中,中,中风险,1,0,业务,未开始,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_035,北美,美国,跨境电商,CUST_016,北美_游戏_016,第三方模型调用,第三方模型调用相关合规检查,低,中,低风险,0,1,技术,待法务确认,确认第三方模型调用范围、数据处理方式和供应商责任边界,1
RISK_036,中东,沙特,游戏出海,CUST_035,中东_跨境_035,删除机制,删除机制相关合规检查,高,高,高风险,0,1,法务,待产品确认,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_037,欧洲,英国,跨境电商,CUST_007,欧洲_跨境_007,专属部署,专属部署相关合规检查,高,中,高风险,0,1,产品,未开始,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_038,拉美,墨西哥,跨境电商,CUST_024,拉美_Sa_024,客户知识库数据使用,客户知识库数据使用相关合规检查,中,中,中风险,0,1,法务,待法务确认,确认客户知识库数据是否参与训练、是否隔离存储及访问权限,1
RISK_039,欧洲,英国,跨境电商,CUST_007,欧洲_跨境_007,日志留存,日志留存相关合规检查,高,高,高风险,0,1,产品,未开始,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_040,中东,阿联酋,跨境电商,CUST_026,中东_教育_026,模型输出内容安全,模型输出内容安全相关合规检查,低,低,低风险,0,1,技术,未开始,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_041,北美,美国,游戏出海,CUST_014,北美_Sa_014,合同责任边界,合同责任边界相关合规检查,低,低,低风险,1,0,产品,处理中,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_042,东南亚,泰国,跨境电商,CUST_009,东南_Sa_009,合同责任边界,合同责任边界相关合规检查,低,低,低风险,1,0,法务,已关闭,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_043,北美,美国,游戏出海,CUST_014,北美_Sa_014,客户知识库数据使用,客户知识库数据使用相关合规检查,中,低,中风险,0,1,业务,待法务确认,确认客户知识库数据是否参与训练、是否隔离存储及访问权限,1
RISK_044,东南亚,马来西亚,金融科技,CUST_010,东南_Sa_010,个人信息处理,个人信息处理相关合规检查,高,中,高风险,1,0,法务,未开始,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_045,欧洲,德国,跨境电商,CUST_002,欧洲_Sa_002,个人信息处理,个人信息处理相关合规检查,低,中,低风险,1,0,法务,已关闭,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_046,欧洲,法国,教育科技,CUST_021,欧洲_Sa_021,数据跨境,数据跨境相关合规检查,低,中,低风险,1,0,业务,处理中,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_047,拉美,巴西,跨境电商,CUST_027,拉美_Sa_027,第三方模型调用,第三方模型调用相关合规检查,低,高,低风险,0,1,业务,待产品确认,确认第三方模型调用范围、数据处理方式和供应商责任边界,1
RISK_048,拉美,巴西,金融科技,CUST_029,拉美_Sa_029,日志留存,日志留存相关合规检查,高,高,高风险,0,1,业务,待产品确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_049,中东,阿联酋,SaaS软件,CUST_033,中东_金融_033,客户知识库数据使用,客户知识库数据使用相关合规检查,高,低,高风险,0,1,产品,待产品确认,确认客户知识库数据是否参与训练、是否隔离存储及访问权限,1
RISK_050,欧洲,德国,跨境电商,CUST_002,欧洲_Sa_002,数据跨境,数据跨境相关合规检查,中,中,中风险,1,0,技术,未开始,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_051,中东,阿联酋,游戏出海,CUST_032,中东_Sa_032,专属部署,专属部署相关合规检查,低,低,低风险,0,1,产品,已关闭,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_052,东南亚,马来西亚,金融科技,CUST_010,东南_Sa_010,数据本地化,数据本地化相关合规检查,低,中,低风险,1,0,产品,待产品确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_053,拉美,巴西,教育科技,CUST_039,拉美_金融_039,第三方模型调用,第三方模型调用相关合规检查,中,中,中风险,0,1,技术,未开始,确认第三方模型调用范围、数据处理方式和供应商责任边界,1
RISK_054,东南亚,马来西亚,SaaS软件,CUST_008,东南_金融_008,第三方模型调用,第三方模型调用相关合规检查,高,低,高风险,0,1,技术,待产品确认,确认第三方模型调用范围、数据处理方式和供应商责任边界,1
RISK_055,欧洲,荷兰,金融科技,CUST_015,欧洲_教育_015,删除机制,删除机制相关合规检查,中,中,中风险,0,1,技术,待产品确认,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_056,欧洲,英国,跨境电商,CUST_007,欧洲_跨境_007,日志留存,日志留存相关合规检查,中,中,中风险,0,1,产品,待法务确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_057,东南亚,马来西亚,金融科技,CUST_010,东南_Sa_010,专属部署,专属部署相关合规检查,低,低,低风险,0,1,业务,未开始,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_058,拉美,巴西,金融科技,CUST_028,拉美_游戏_028,数据本地化,数据本地化相关合规检查,高,高,高风险,1,0,产品,处理中,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_059,东南亚,马来西亚,SaaS软件,CUST_036,东南_跨境_036,数据跨境,数据跨境相关合规检查,高,高,高风险,1,0,产品,未开始,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_060,拉美,巴西,跨境电商,CUST_027,拉美_Sa_027,日志留存,日志留存相关合规检查,高,中,高风险,0,1,业务,待法务确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_061,拉美,巴西,教育科技,CUST_039,拉美_金融_039,模型输出内容安全,模型输出内容安全相关合规检查,中,低,中风险,0,1,法务,处理中,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_062,东南亚,印尼,跨境电商,CUST_031,东南_Sa_031,客户知识库数据使用,客户知识库数据使用相关合规检查,低,中,低风险,0,1,产品,未开始,确认客户知识库数据是否参与训练、是否隔离存储及访问权限,1
RISK_063,欧洲,荷兰,教育科技,CUST_018,欧洲_教育_018,合同责任边界,合同责任边界相关合规检查,低,中,低风险,1,0,业务,已关闭,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_064,欧洲,荷兰,教育科技,CUST_018,欧洲_教育_018,数据跨境,数据跨境相关合规检查,低,中,低风险,1,0,产品,待法务确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_065,拉美,巴西,教育科技,CUST_023,拉美_教育_023,数据跨境,数据跨境相关合规检查,低,低,低风险,1,0,技术,未开始,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_066,东南亚,马来西亚,金融科技,CUST_010,东南_Sa_010,数据跨境,数据跨境相关合规检查,低,高,低风险,1,0,法务,待产品确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_067,拉美,巴西,跨境电商,CUST_027,拉美_Sa_027,专属部署,专属部署相关合规检查,中,低,中风险,0,1,产品,待法务确认,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_068,欧洲,法国,教育科技,CUST_021,欧洲_Sa_021,合同责任边界,合同责任边界相关合规检查,高,低,高风险,1,0,业务,处理中,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_069,东南亚,新加坡,金融科技,CUST_011,东南_游戏_011,合同责任边界,合同责任边界相关合规检查,低,高,低风险,1,0,业务,待法务确认,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_070,拉美,巴西,金融科技,CUST_029,拉美_Sa_029,删除机制,删除机制相关合规检查,中,高,中风险,0,1,技术,待产品确认,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_071,欧洲,荷兰,教育科技,CUST_018,欧洲_教育_018,客户知识库数据使用,客户知识库数据使用相关合规检查,高,低,高风险,0,1,产品,待产品确认,确认客户知识库数据是否参与训练、是否隔离存储及访问权限,1
RISK_072,东南亚,马来西亚,SaaS软件,CUST_008,东南_金融_008,模型输出内容安全,模型输出内容安全相关合规检查,高,高,高风险,0,1,技术,已关闭,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_073,拉美,墨西哥,教育科技,CUST_020,拉美_Sa_020,数据跨境,数据跨境相关合规检查,低,中,低风险,1,0,业务,未开始,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_074,北美,美国,游戏出海,CUST_014,北美_Sa_014,模型输出内容安全,模型输出内容安全相关合规检查,低,低,低风险,0,1,产品,待法务确认,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_075,欧洲,法国,教育科技,CUST_021,欧洲_Sa_021,数据本地化,数据本地化相关合规检查,低,中,低风险,1,0,技术,处理中,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_076,东南亚,泰国,跨境电商,CUST_009,东南_Sa_009,删除机制,删除机制相关合规检查,高,高,高风险,0,1,法务,已关闭,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_077,东南亚,马来西亚,SaaS软件,CUST_036,东南_跨境_036,日志留存,日志留存相关合规检查,低,中,低风险,0,1,业务,待产品确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_078,欧洲,德国,跨境电商,CUST_002,欧洲_Sa_002,专属部署,专属部署相关合规检查,低,中,低风险,0,1,技术,已关闭,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_079,中东,阿联酋,跨境电商,CUST_026,中东_教育_026,删除机制,删除机制相关合规检查,中,低,中风险,0,1,技术,未开始,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_080,欧洲,法国,教育科技,CUST_021,欧洲_Sa_021,个人信息处理,个人信息处理相关合规检查,高,中,高风险,1,0,产品,未开始,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_081,拉美,巴西,金融科技,CUST_028,拉美_游戏_028,数据本地化,数据本地化相关合规检查,低,中,低风险,1,0,技术,已关闭,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_082,欧洲,荷兰,金融科技,CUST_006,欧洲_金融_006,删除机制,删除机制相关合规检查,中,高,中风险,0,1,产品,处理中,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_083,东南亚,新加坡,游戏出海,CUST_022,东南_游戏_022,个人信息处理,个人信息处理相关合规检查,低,高,低风险,1,0,业务,已关闭,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_084,中东,阿联酋,SaaS软件,CUST_033,中东_金融_033,客户知识库数据使用,客户知识库数据使用相关合规检查,中,中,中风险,0,1,法务,处理中,确认客户知识库数据是否参与训练、是否隔离存储及访问权限,1
RISK_085,欧洲,英国,跨境电商,CUST_007,欧洲_跨境_007,个人信息处理,个人信息处理相关合规检查,中,低,中风险,1,0,法务,已关闭,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_086,东南亚,马来西亚,金融科技,CUST_010,东南_Sa_010,数据本地化,数据本地化相关合规检查,低,高,低风险,1,0,技术,待产品确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_087,拉美,巴西,跨境电商,CUST_037,拉美_跨境_037,合同责任边界,合同责任边界相关合规检查,中,高,中风险,1,0,产品,待法务确认,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_088,东南亚,马来西亚,金融科技,CUST_010,东南_Sa_010,专属部署,专属部署相关合规检查,低,中,低风险,0,1,技术,待法务确认,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_089,欧洲,荷兰,教育科技,CUST_018,欧洲_教育_018,合同责任边界,合同责任边界相关合规检查,低,中,低风险,1,0,业务,待法务确认,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_090,东南亚,新加坡,金融科技,CUST_030,东南_金融_030,专属部署,专属部署相关合规检查,低,低,低风险,0,1,产品,待法务确认,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_091,欧洲,荷兰,金融科技,CUST_005,欧洲_Sa_005,数据本地化,数据本地化相关合规检查,高,高,高风险,1,0,技术,待产品确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_092,欧洲,德国,金融科技,CUST_038,欧洲_跨境_038,第三方模型调用,第三方模型调用相关合规检查,高,低,高风险,0,1,技术,已关闭,确认第三方模型调用范围、数据处理方式和供应商责任边界,1
RISK_093,北美,美国,金融科技,CUST_013,北美_金融_013,日志留存,日志留存相关合规检查,高,中,高风险,0,1,法务,未开始,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_094,拉美,巴西,金融科技,CUST_029,拉美_Sa_029,数据本地化,数据本地化相关合规检查,中,高,中风险,1,0,业务,已关闭,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_095,欧洲,德国,金融科技,CUST_012,欧洲_教育_012,数据跨境,数据跨境相关合规检查,低,高,低风险,1,0,技术,待产品确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_096,欧洲,法国,教育科技,CUST_034,欧洲_金融_034,第三方模型调用,第三方模型调用相关合规检查,高,低,高风险,0,1,产品,待法务确认,确认第三方模型调用范围、数据处理方式和供应商责任边界,1
RISK_097,北美,美国,SaaS软件,CUST_019,北美_游戏_019,删除机制,删除机制相关合规检查,中,中,中风险,0,1,业务,待法务确认,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_098,欧洲,荷兰,金融科技,CUST_005,欧洲_Sa_005,日志留存,日志留存相关合规检查,低,高,低风险,0,1,技术,待法务确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_099,中东,沙特,游戏出海,CUST_017,中东_跨境_017,合同责任边界,合同责任边界相关合规检查,低,中,低风险,1,0,业务,已关闭,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
